Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		1	1	127	0.8%	No
OCLN		1	1	127	0.8%	No
ASPM		5	5	127	3.9%	No
SBF2		1	1	127	0.8%	No
OGN		1	1	127	0.8%	No
CELF2		1	1	127	0.8%	No
STK32A		1	1	127	0.8%	No
CELF1		1	1	127	0.8%	No
ANKS1B		1	1	127	0.8%	No
SULT1C3		1	1	127	0.8%	No
GALNT10		1	1	127	0.8%	No
VASN		1	1	127	0.8%	No
DNAH3		1	1	127	0.8%	No
ZNF618		1	1	127	0.8%	No
LAMA1		3	3	127	2.4%	No
TPH2		1	1	127	0.8%	No
AGPAT4		2	2	127	1.6%	No
RALGAPA1		1	1	127	0.8%	No
INPP4A		1	1	127	0.8%	Yes
INPPL1		1	1	127	0.8%	Yes
KRTAP27-1		1	1	127	0.8%	No
VANGL1		1	1	127	0.8%	No
FLNB		1	1	127	0.8%	No
FLNA		1	1	127	0.8%	No
FLII		3	3	127	2.4%	No
FLI1		1	1	127	0.8%	Yes
FLG		11	10	127	7.9%	No
SUPT20H		1	1	127	0.8%	No
NAGK		1	1	127	0.8%	No
STAB2		2	2	127	1.6%	No
INSR		1	1	127	0.8%	Yes
RFX8		1	1	127	0.8%	No
INSRR		1	1	127	0.8%	No
FLOT2		2	2	127	1.6%	No
CD226		1	1	127	0.8%	No
FLNC		3	3	127	2.4%	No
IRF3		4	2	127	1.6%	No
FMOD		1	1	127	0.8%	No
KIF27		1	1	127	0.8%	No
FMO3		1	1	127	0.8%	No
FMO2		1	1	127	0.8%	No
FMO1		1	1	127	0.8%	No
CEP89		2	2	127	1.6%	No
RGS14		1	1	127	0.8%	No
BMP2K		2	2	127	1.6%	No
TMEM132D		1	1	127	0.8%	No
ARPC5L		1	1	127	0.8%	No
IPP		3	2	127	1.6%	No
IRAK1		1	1	127	0.8%	No
OPRK1		1	1	127	0.8%	No
IRAK2		1	1	127	0.8%	No
OPRL1		1	1	127	0.8%	No
POSTN		1	1	127	0.8%	No
ZFP62		1	1	127	0.8%	No
PNPT1		1	1	127	0.8%	No
IREB2		2	2	127	1.6%	No
ISL1		1	1	127	0.8%	No
ADPRHL1		2	2	127	1.6%	No
ITGA1		1	1	127	0.8%	No
GPR180		1	1	127	0.8%	No
ITGA2		1	1	127	0.8%	No
MIPOL1		1	1	127	0.8%	No
ZNF611		1	1	127	0.8%	No
VEZT		1	1	127	0.8%	No
SHARPIN		1	1	127	0.8%	No
CDH10		1	1	127	0.8%	No
OR2A4		1	1	127	0.8%	No
CDH8		2	2	127	1.6%	No
FN1		4	4	127	3.1%	No
CDH4		1	1	127	0.8%	No
RNPC3		1	1	127	0.8%	No
CDH3		2	2	127	1.6%	No
IRF5		1	1	127	0.8%	No
