Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
KRT6C		2	2	88	2.3%	No
MDM1		1	1	88	1.1%	No
ASPM		3	3	88	3.4%	No
SBF2		2	2	88	2.3%	No
CELF2		1	1	88	1.1%	No
SFXN3		1	1	88	1.1%	No
DNAH3		2	2	88	2.3%	No
ZNF618		1	1	88	1.1%	No
CEP95		1	1	88	1.1%	No
FOXO3		1	1	88	1.1%	Yes
TNFRSF11B		1	1	88	1.1%	No
FLNB		4	4	88	4.5%	No
FLG		2	2	88	2.3%	No
OPA1		1	1	88	1.1%	No
CTCF	1.120e-2	2	2	88	2.3%	Yes
KRT28		1	1	88	1.1%	No
FBXW10B		1	1	88	1.1%	No
CDH2		1	1	88	1.1%	No
FMO5		1	1	88	1.1%	No
KIF27		1	1	88	1.1%	No
GAS2L1		1	1	88	1.1%	No
FMO1		1	1	88	1.1%	No
FLT4		1	1	88	1.1%	Yes
KRTAP4-6		2	2	88	2.3%	No
WFDC11		1	1	88	1.1%	No
FLT3		1	1	88	1.1%	Yes
TMEM132D		2	2	88	2.3%	No
FLT1		1	1	88	1.1%	Yes
OPRD1		1	1	88	1.1%	No
IREB2		1	1	88	1.1%	No
IRF1		1	1	88	1.1%	Yes
ISLR		2	2	88	2.3%	No
CDH12		1	1	88	1.1%	No
MED25		2	2	88	2.3%	No
CDH9		1	1	88	1.1%	No
CDH8		3	3	88	3.4%	No
FN1		1	1	88	1.1%	No
CDH4		1	1	88	1.1%	No
SPTSSA		1	1	88	1.1%	No
IRS1		1	1	88	1.1%	Yes
ZXDB		1	1	88	1.1%	No
IGF2BP2		1	1	88	1.1%	No
ITGAD		1	1	88	1.1%	No
C5ORF24		1	1	88	1.1%	No
ITGAM		1	1	88	1.1%	No
CDK7		1	1	88	1.1%	No
PPP1R15B		1	1	88	1.1%	No
KASH5		1	1	88	1.1%	No
ATP13A3		1	1	88	1.1%	No
SPTA1		1	1	88	1.1%	No
NKAP		2	2	88	2.3%	No
FAM104A		1	1	88	1.1%	No
FOLH1		1	1	88	1.1%	No
STAMBP		1	1	88	1.1%	No
TIFAB		1	1	88	1.1%	No
PTPN22		2	2	88	2.3%	No
ITGB5		1	1	88	1.1%	No
SREBF1		2	2	88	2.3%	No
OR6C75		1	1	88	1.1%	No
AOPEP		1	1	88	1.1%	No
OR6C76		1	1	88	1.1%	No
POLR3C		1	1	88	1.1%	No
CDKN1B	3.350e-5	1	1	88	1.1%	Yes
FPGS		2	2	88	2.3%	No
ITGAV		1	1	88	1.1%	No
SPTBN1		1	1	88	1.1%	No
SQLE		1	1	88	1.1%	No
SPTBN2		3	3	88	3.4%	No
SRD5A1		1	1	88	1.1%	No
FANK1		1	1	88	1.1%	No
BOD1L1		1	1	88	1.1%	No
SRP72		2	1	88	1.1%	No
TAS2R41		1	1	88	1.1%	No
TMEM64		2	2	88	2.3%	No
INTS1		4	3	88	3.4%	No
MAEL		1	1	88	1.1%	No
OBI1		1	1	88	1.1%	No
CDR1		1	1	88	1.1%	No
ABHD13		1	1	88	1.1%	No
ITGB8		1	1	88	1.1%	No
SRF		1	1	88	1.1%	No
ITIH2		1	1	88	1.1%	No
FAM149B1		1	1	88	1.1%	No
SLC52A2		1	1	88	1.1%	No
CHPF		1	1	88	1.1%	No
OR1C1		1	1	88	1.1%	No
NXF2		1	1	88	1.1%	No
CBX8		1	1	88	1.1%	No
RNF128		1	1	88	1.1%	No
TBL3		1	1	88	1.1%	No
SRPRA		1	1	88	1.1%	No
TRIM21		1	1	88	1.1%	No
RDH8		1	1	88	1.1%	No
PNLIPRP1		1	1	88	1.1%	No
RO60		2	2	88	2.3%	No
NOM1		1	1	88	1.1%	No
CES1		1	1	88	1.1%	No
CENPF		2	2	88	2.3%	No
CENPC		1	1	88	1.1%	No
ITPRID2		1	1	88	1.1%	No
HNRNPUL1		2	2	88	2.3%	No
SSR2		1	1	88	1.1%	No
RPP14		1	1	88	1.1%	No
PCSK9		1	1	88	1.1%	No
SSRP1		1	1	88	1.1%	No
UHRF2		1	1	88	1.1%	No
KIAA1549L		1	1	88	1.1%	No
PHF11		1	1	88	1.1%	No
NPNT		1	1	88	1.1%	No
RLIM		1	1	88	1.1%	No
IRAK4		2	2	88	2.3%	No
OBSCN		2	2	88	2.3%	No
CIT		1	1	88	1.1%	No
ZC3HAV1		2	2	88	2.3%	No
POLE		1	1	88	1.1%	Yes
COPS4		1	1	88	1.1%	No
MAGEB10		1	1	88	1.1%	No
POLG		1	1	88	1.1%	Yes
SSX5		1	1	88	1.1%	No
SYDE1		1	1	88	1.1%	No
CEP43		1	1	88	1.1%	Yes
MDGA2		1	1	88	1.1%	No
POLRMT		1	1	88	1.1%	No
STAT3		1	1	88	1.1%	Yes
ZFP57		1	1	88	1.1%	No
UNC13C		1	1	88	1.1%	No
IFNK		1	1	88	1.1%	No
MAGEA4		1	1	88	1.1%	No
CERCAM		1	1	88	1.1%	No
TEX35		1	1	88	1.1%	No
TRPV6		1	1	88	1.1%	No
MAGEA8		1	1	88	1.1%	No
PAGE5		1	1	88	1.1%	No
SLC35E3		1	1	88	1.1%	No
STAU1		1	1	88	1.1%	No
ADGRV1		2	2	88	2.3%	No
SAGE1		1	1	88	1.1%	No
MAK		1	1	88	1.1%	No
OR52B2		1	1	88	1.1%	No
ZBTB12		2	2	88	2.3%	No
MAP1A		6	3	88	3.4%	No
STK10		1	1	88	1.1%	No
MAP1B		1	1	88	1.1%	No
CDKL5		1	1	88	1.1%	No
ZNF391		1	1	88	1.1%	No
MAP2		1	1	88	1.1%	No
PPARA		1	1	88	1.1%	No
GMEB1		1	1	88	1.1%	No
CSMD1		5	5	88	5.7%	No
MAP6		1	1	88	1.1%	No
ALDH16A1		1	1	88	1.1%	No
CCT6B		2	2	88	2.3%	Yes
POU4F1		1	1	88	1.1%	No
CCT8		1	1	88	1.1%	No
PRAG1		1	1	88	1.1%	No
MARS1		1	1	88	1.1%	No
PKP4		3	3	88	3.4%	No
PPFIA1		2	2	88	2.3%	No
ZNF623		2	1	88	1.1%	No
PGAM4		1	1	88	1.1%	No
NAGPA		1	1	88	1.1%	No
TUBD1		1	1	88	1.1%	No
SLC30A10		1	1	88	1.1%	No
CREB3L4		1	1	88	1.1%	No
SPATA2		1	1	88	1.1%	No
ARHGEF11		2	2	88	2.3%	No
MED1		1	1	88	1.1%	No
ARMCX2		1	1	88	1.1%	No
RSPH1		1	1	88	1.1%	No
MARK1		1	1	88	1.1%	No
ARHGAP11A		1	1	88	1.1%	No
ANKRD27		1	1	88	1.1%	No
TKTL2		1	1	88	1.1%	No
C1ORF127		1	1	88	1.1%	No
SPACA1		1	1	88	1.1%	No
ABCD1		1	1	88	1.1%	No
ALDH1A1		1	1	88	1.1%	No
LCMT2		3	1	88	1.1%	No
ZCCHC12		1	1	88	1.1%	No
TNFSF13B		1	1	88	1.1%	No
DYNLT2B		1	1	88	1.1%	No
ZEB2		1	1	88	1.1%	No
PPL		3	2	88	2.3%	No
HAT1		1	1	88	1.1%	No
PPM1A		1	1	88	1.1%	No
FARP2		1	1	88	1.1%	No
PPOX		1	1	88	1.1%	No
EPM2AIP1		1	1	88	1.1%	No
GAS7		1	1	88	1.1%	Yes
RUSC2		1	1	88	1.1%	No
ALDH1A3		1	1	88	1.1%	No
ALDH3B1		1	1	88	1.1%	No
UGGT1		2	2	88	2.3%	No
PLCE1		1	1	88	1.1%	No
DHRS13		1	1	88	1.1%	No
NIN		1	1	88	1.1%	Yes
ALDOA		1	1	88	1.1%	No
ITGA8		1	1	88	1.1%	No
C2CD5		1	1	88	1.1%	No
MC3R		1	1	88	1.1%	No
MFAP3L		1	1	88	1.1%	No
ITGA10		1	1	88	1.1%	No
GAB2		1	1	88	1.1%	Yes
ELP1		2	1	88	1.1%	No
PNMA2		1	1	88	1.1%	No
MCM4		1	1	88	1.1%	No
MED24		3	1	88	1.1%	No
GLRA4		1	1	88	1.1%	No
MCM6		3	3	88	3.4%	No
LRIG2		1	1	88	1.1%	No
WWP2		1	1	88	1.1%	No
MMAB		1	1	88	1.1%	No
MAGI2		1	1	88	1.1%	No
ANO3		2	2	88	2.3%	No
SMG1		3	3	88	3.4%	Yes
OR10J5		1	1	88	1.1%	No
PDXDC1		1	1	88	1.1%	No
DGKD		2	2	88	2.3%	No
NUDT12		1	1	88	1.1%	No
CEP170		1	1	88	1.1%	No
KIAA0319		1	1	88	1.1%	No
RAPGEF4		1	1	88	1.1%	No
CEP350		1	1	88	1.1%	No
ADGRG4		1	1	88	1.1%	No
CNTN4		1	1	88	1.1%	No
THAP2		1	1	88	1.1%	No
PPFIA3		1	1	88	1.1%	No
AP3B1		1	1	88	1.1%	No
URB1		1	1	88	1.1%	No
KRTCAP3		1	1	88	1.1%	No
LRRN4		1	1	88	1.1%	No
HGSNAT		2	2	88	2.3%	No
UBE2J2		1	1	88	1.1%	No
ALOX15B		1	1	88	1.1%	No
NCOA6		2	2	88	2.3%	No
SETDB1		1	1	88	1.1%	Yes
FCSK		1	1	88	1.1%	No
TRPC1		1	1	88	1.1%	No
POM121		1	1	88	1.1%	No
TBC1D4		2	2	88	2.3%	No
TRPC5		1	1	88	1.1%	No
SMG7		1	1	88	1.1%	No
TMCC1		2	2	88	2.3%	No
PRIMPOL		1	1	88	1.1%	No
SMCO1		1	1	88	1.1%	No
