Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ST6GALNAC5		1	1	112	0.9%	No
ASPM		1	1	112	0.9%	No
DPYSL5		1	1	112	0.9%	No
FOXM1		1	1	112	0.9%	No
GALNT10		1	1	112	0.9%	No
DNAH3		1	1	112	0.9%	No
LAMA1		1	1	112	0.9%	No
ZNF821		1	1	112	0.9%	No
INPP4A		1	1	112	0.9%	Yes
CEP95		1	1	112	0.9%	No
MTX2		1	1	112	0.9%	No
INPP5B		1	1	112	0.9%	No
INPPL1		1	1	112	0.9%	Yes
OGDH		1	1	112	0.9%	No
PMVK		1	1	112	0.9%	No
FLNB		2	2	112	1.8%	No
FLNA		3	2	112	1.8%	No
A2M		1	1	112	0.9%	No
CDV3		1	1	112	0.9%	No
FLG		3	3	112	2.7%	No
TRIM73		1	1	112	0.9%	No
CTCF	1.120e-2	4	4	112	3.6%	Yes
FLNC		2	2	112	1.8%	No
KRT28		2	2	112	1.8%	No
SIX6		1	1	112	0.9%	No
IRF3		1	1	112	0.9%	No
RNFT2		1	1	112	0.9%	No
ISG20L2		1	1	112	0.9%	No
RGS14		1	1	112	0.9%	No
KRTAP9-9		1	1	112	0.9%	No
FLT3LG		1	1	112	0.9%	No
BMP2K		2	2	112	1.8%	No
TMEM132D		1	1	112	0.9%	No
FLT1		1	1	112	0.9%	Yes
OPRD1		1	1	112	0.9%	No
ITGA6		1	1	112	0.9%	No
OPRL1		1	1	112	0.9%	No
POSTN		1	1	112	0.9%	No
IREB2		2	2	112	1.8%	No
FMO4		1	1	112	0.9%	No
ISL1		1	1	112	0.9%	No
ADPRHL1		1	1	112	0.9%	No
ITGA1		2	2	112	1.8%	No
FNTB		1	1	112	0.9%	No
CDH12		1	1	112	0.9%	No
CDH10		1	1	112	0.9%	No
CDH9		1	1	112	0.9%	No
ZCCHC8		1	1	112	0.9%	No
CDH8		1	1	112	0.9%	No
CDH7		1	1	112	0.9%	No
FN1		1	1	112	0.9%	No
AFF2		2	2	112	1.8%	No
IRF6		1	1	112	0.9%	No
IRS1		1	1	112	0.9%	Yes
IGF2BP2		1	1	112	0.9%	No
CYP4X1		1	1	112	0.9%	No
FMR1NB		1	1	112	0.9%	No
ITGA9		3	3	112	2.7%	No
ITGAL		1	1	112	0.9%	No
ITGAM		2	2	112	1.8%	No
CDK6		1	1	112	0.9%	Yes
CDK5		1	1	112	0.9%	No
KASH5		1	1	112	0.9%	No
FAHD1		1	1	112	0.9%	No
CLEC18B		2	2	112	1.8%	No
ATP13A3		1	1	112	0.9%	No
SPTA1		2	2	112	1.8%	No
FIZ1		1	1	112	0.9%	No
SPAG5		3	3	112	2.7%	No
CDC73		1	1	112	0.9%	Yes
ZNF566		1	1	112	0.9%	No
FOLH1		1	1	112	0.9%	No
CDH15		2	2	112	1.8%	No
ITGA4		3	2	112	1.8%	No
ITGA5		1	1	112	0.9%	No
PTPN22		2	1	112	0.9%	No
KCTD1		1	1	112	0.9%	No
ITGB3		1	1	112	0.9%	No
EIF6		1	1	112	0.9%	No
ITGB7		1	1	112	0.9%	No
FAM136A		1	1	112	0.9%	No
YIPF7		1	1	112	0.9%	No
AOPEP		1	1	112	0.9%	No
FRYL		2	2	112	1.8%	No
ARHGEF39		1	1	112	0.9%	No
ZNF341		1	1	112	0.9%	No
POLR3C		3	3	112	2.7%	No
CDKN1B	3.350e-5	2	2	112	1.8%	Yes
CDK9		1	1	112	0.9%	No
MYL12A		2	1	112	0.9%	No
FOSB		1	1	112	0.9%	No
ITGAV		1	1	112	0.9%	No
SPTBN1		1	1	112	0.9%	No
SPTB		3	3	112	2.7%	No
ITGAX		1	1	112	0.9%	No
SPTBN2		1	1	112	0.9%	No
ITGB2		1	1	112	0.9%	No
ARID3B		2	2	112	1.8%	Yes
FANK1		1	1	112	0.9%	No
SRP72		1	1	112	0.9%	No
ST8SIA6		1	1	112	0.9%	No
MRPL24		1	1	112	0.9%	No
CDS1		1	1	112	0.9%	No
GUCD1		1	1	112	0.9%	No
ZNRF1		1	1	112	0.9%	No
SAP130		1	1	112	0.9%	No
KAT14		1	1	112	0.9%	No
PBXIP1		1	1	112	0.9%	No
CDR2		1	1	112	0.9%	No
CEP97		1	1	112	0.9%	No
WDR73		1	1	112	0.9%	No
ITGB8		2	2	112	1.8%	No
SREBF2		1	1	112	0.9%	No
ITIH3		2	2	112	1.8%	No
PNN		2	2	112	1.8%	No
FIBCD1		1	1	112	0.9%	No
CEBPE		1	1	112	0.9%	No
NXF3		1	1	112	0.9%	No
SPAG16		1	1	112	0.9%	No
PNMT		1	1	112	0.9%	No
C8ORF76		1	1	112	0.9%	No
SMG9		1	1	112	0.9%	No
SENP7		1	1	112	0.9%	No
CORO7		1	1	112	0.9%	No
SH2B2		1	1	112	0.9%	No
CARS2		1	1	112	0.9%	No
PAICS		1	1	112	0.9%	No
CBX8		1	1	112	0.9%	No
RCN3		1	1	112	0.9%	No
SRPK1		1	1	112	0.9%	No
PNLIP		2	2	112	1.8%	No
MALRD1		3	2	112	1.8%	No
SSTR3		2	2	112	1.8%	No
POLA1		1	1	112	0.9%	No
SSTR2		1	1	112	0.9%	No
CENPE		2	2	112	1.8%	No
PRDM4		1	1	112	0.9%	No
PRDM5		1	1	112	0.9%	No
CENPB		1	1	112	0.9%	No
CEL		1	1	112	0.9%	No
SEPTIN5		1	1	112	0.9%	Yes
TUBGCP6		2	2	112	1.8%	No
TRIM17		2	2	112	1.8%	No
RIMBP3		1	1	112	0.9%	No
PTCHD1		1	1	112	0.9%	No
SSR4		1	1	112	0.9%	No
ANGPTL4		1	1	112	0.9%	No
SSC5D		2	1	112	0.9%	No
SSRP1		1	1	112	0.9%	No
POLR2A		1	1	112	0.9%	No
POLR2C		1	1	112	0.9%	No
KCNK18		1	1	112	0.9%	No
BTN3A1		1	1	112	0.9%	No
PHF11		1	1	112	0.9%	No
NPNT		1	1	112	0.9%	No
IRAK4		1	1	112	0.9%	No
STRIP1		2	2	112	1.8%	No
RTL1		1	1	112	0.9%	No
EMILIN2		1	1	112	0.9%	No
SSTR4		1	1	112	0.9%	No
OBSCN		5	4	112	3.6%	No
CIT		1	1	112	0.9%	No
ZC3HAV1		2	2	112	1.8%	No
POLE		1	1	112	0.9%	Yes
SSX1		1	1	112	0.9%	Yes
POLG		2	2	112	1.8%	Yes
TMEM201		1	1	112	0.9%	No
CFTR		1	1	112	0.9%	No
RBM48		1	1	112	0.9%	No
STAT2		2	2	112	1.8%	Yes
MAGEA12		1	1	112	0.9%	No
STAT4		1	1	112	0.9%	Yes
MAGEB2		1	1	112	0.9%	No
STAT3		1	1	112	0.9%	Yes
CCDC112		1	1	112	0.9%	No
UNC13C		3	3	112	2.7%	No
MALSU1		1	1	112	0.9%	No
FFAR4		1	1	112	0.9%	No
DYNC1LI1		1	1	112	0.9%	No
FHIP1B		2	2	112	1.8%	No
TNFRSF19		1	1	112	0.9%	No
KIRREL2		1	1	112	0.9%	No
POLR2J		1	1	112	0.9%	No
STAU1		1	1	112	0.9%	No
FAM217A		1	1	112	0.9%	No
POU2F1		2	2	112	1.8%	No
MAN1A1		1	1	112	0.9%	No
POU2F2		1	1	112	0.9%	No
SULT1E1		1	1	112	0.9%	No
MAN2C1		1	1	112	0.9%	No
SAMD11		1	1	112	0.9%	No
OR6C65		1	1	112	0.9%	No
SLC45A2		1	1	112	0.9%	No
