Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,VWF,309 kDa,,7,6,7,7,6,7,5,5,5,5,5,5,5,5,4,5,5,4,100%,100%,100%,2.45%,2.74%,2.03%,0.01%,0.01%,0.01%
von Willebrand factor A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VWA1 PE=1 SV=1,VWA1,47 kDa,,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,100%,99%,0,7.19%,3.60%,0,0.00%,0.00%,0
rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,FBL,34 kDa,,3,2,2,3,2,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,99%,9.35%,3.43%,3.43%,0.00%,0.00%,0.00%
cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,PRKAR1A,43 kDa,TRUE,5,4,2,5,4,2,3,3,2,3,3,2,2,2,2,2,2,2,100%,100%,100%,7.35%,7.35%,7.35%,0.01%,0.01%,0.00%
Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,ZYX,61 kDa,,23,20,23,23,20,23,13,12,9,13,12,9,10,8,8,10,8,8,100%,100%,100%,27.30%,22.00%,22.00%,0.03%,0.03%,0.04%
Zinc finger protein 438 OS=Homo sapiens OX=9606 GN=ZNF438 PE=1 SV=1,ZNF438,92 kDa,,6,2,4,6,2,4,1,1,2,1,1,2,1,1,2,1,1,2,99%,98%,100%,1.57%,1.57%,3.14%,0.01%,0.00%,0.01%
Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,YBX3,40 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7%,0,0,0.00%,0,0,0.00%,0,0
X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,XRCC6,70 kDa,,13,3,6,13,3,6,9,3,5,9,3,5,7,3,5,7,3,5,100%,100%,100%,13.60%,6.24%,8.70%,0.02%,0.00%,0.01%
X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,XRCC5,83 kDa,,8,4,4,8,4,4,4,1,1,4,1,1,4,1,1,4,1,1,100%,99%,99%,8.20%,1.23%,1.23%,0.01%,0.01%,0.01%
Wiskott-Aldrich syndrome protein family member 2 OS=Homo sapiens OX=9606 GN=WASF2 PE=1 SV=3,WASF2,54 kDa,,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,97%,6.43%,5.22%,2.61%,0.00%,0.00%,0.00%
WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4,WDR1,66 kDa,,32,19,25,32,19,25,16,11,14,16,11,14,12,7,9,12,7,9,100%,100%,100%,29.50%,14.90%,21.60%,0.05%,0.03%,0.04%
Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,VDAC2,32 kDa,,9,4,5,9,4,5,6,3,3,6,3,3,5,3,3,5,3,3,100%,100%,100%,26.90%,12.20%,14.30%,0.01%,0.01%,0.01%
Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,VDAC1,31 kDa,,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,98%,98%,7.07%,4.24%,4.24%,0.00%,0.00%,0.00%
Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,VTN,54 kDa,,28,20,20,28,20,20,10,9,11,10,9,11,8,7,7,8,7,7,100%,100%,100%,22.40%,19.20%,20.70%,0.04%,0.03%,0.03%
